MARKET_RUN_ID,PRC_SHADOW,XML_DATA_ITEM,INTERVAL_START_GMT,INTERVAL_END_GMT,GROUP
RTD,-6.48999977111816,PRC_SHADOW,2018-12-30T15:35:00-00:00,2018-12-30T15:40:00-00:00,1
RTD,-6.14942745240992,PRC_SHADOW,2018-12-30T15:40:00-00:00,2018-12-30T15:45:00-00:00,1
RTD,-5.40999984741211,PRC_SHADOW,2018-12-30T15:50:00-00:00,2018-12-30T15:55:00-00:00,1
RTD,-6.17999982833862,PRC_SHADOW,2018-12-30T16:00:00-00:00,2018-12-30T16:05:00-00:00,1
RTD,-6.17999982833862,PRC_SHADOW,2018-12-30T16:05:00-00:00,2018-12-30T16:10:00-00:00,1
RTD,-6.07999992370605,PRC_SHADOW,2018-12-30T16:10:00-00:00,2018-12-30T16:15:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T16:30:00-00:00,2018-12-30T16:35:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T16:40:00-00:00,2018-12-30T16:45:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T16:45:00-00:00,2018-12-30T16:50:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T16:55:00-00:00,2018-12-30T17:00:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T17:05:00-00:00,2018-12-30T17:10:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T17:10:00-00:00,2018-12-30T17:15:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T17:20:00-00:00,2018-12-30T17:25:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T17:25:00-00:00,2018-12-30T17:30:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T17:30:00-00:00,2018-12-30T17:35:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T17:55:00-00:00,2018-12-30T18:00:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T18:00:00-00:00,2018-12-30T18:05:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T18:05:00-00:00,2018-12-30T18:10:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T18:25:00-00:00,2018-12-30T18:30:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T18:30:00-00:00,2018-12-30T18:35:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T18:45:00-00:00,2018-12-30T18:50:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T18:50:00-00:00,2018-12-30T18:55:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T18:55:00-00:00,2018-12-30T19:00:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T19:00:00-00:00,2018-12-30T19:05:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T19:15:00-00:00,2018-12-30T19:20:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T19:20:00-00:00,2018-12-30T19:25:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T19:25:00-00:00,2018-12-30T19:30:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T19:35:00-00:00,2018-12-30T19:40:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T19:50:00-00:00,2018-12-30T19:55:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T20:05:00-00:00,2018-12-30T20:10:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T20:15:00-00:00,2018-12-30T20:20:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T20:20:00-00:00,2018-12-30T20:25:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T20:25:00-00:00,2018-12-30T20:30:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T20:30:00-00:00,2018-12-30T20:35:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T20:35:00-00:00,2018-12-30T20:40:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T20:45:00-00:00,2018-12-30T20:50:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T20:55:00-00:00,2018-12-30T21:00:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T21:05:00-00:00,2018-12-30T21:10:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T21:20:00-00:00,2018-12-30T21:25:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T22:00:00-00:00,2018-12-30T22:05:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T22:10:00-00:00,2018-12-30T22:15:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T22:15:00-00:00,2018-12-30T22:20:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T22:20:00-00:00,2018-12-30T22:25:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T22:30:00-00:00,2018-12-30T22:35:00-00:00,1
RTD,-7.13000011444092,PRC_SHADOW,2018-12-30T08:00:00-00:00,2018-12-30T08:05:00-00:00,1
RTD,-8.92000007629395,PRC_SHADOW,2018-12-30T08:05:00-00:00,2018-12-30T08:10:00-00:00,1
RTD,-9.78401544102777,PRC_SHADOW,2018-12-30T08:15:00-00:00,2018-12-30T08:20:00-00:00,1
RTD,-10.1542243617257,PRC_SHADOW,2018-12-30T08:20:00-00:00,2018-12-30T08:25:00-00:00,1
RTD,-10.774198593837,PRC_SHADOW,2018-12-30T08:55:00-00:00,2018-12-30T09:00:00-00:00,1
RTD,-11.8400001525879,PRC_SHADOW,2018-12-30T09:05:00-00:00,2018-12-30T09:10:00-00:00,1
RTD,-10.9277152198247,PRC_SHADOW,2018-12-30T09:20:00-00:00,2018-12-30T09:25:00-00:00,1
RTD,-11.3947754289044,PRC_SHADOW,2018-12-30T09:35:00-00:00,2018-12-30T09:40:00-00:00,1
RTD,-11.3438483136902,PRC_SHADOW,2018-12-30T09:45:00-00:00,2018-12-30T09:50:00-00:00,1
RTD,-11.2600002288818,PRC_SHADOW,2018-12-30T09:50:00-00:00,2018-12-30T09:55:00-00:00,1
RTD,-10.6957840881249,PRC_SHADOW,2018-12-30T09:55:00-00:00,2018-12-30T10:00:00-00:00,1
RTD,-8.92000007629395,PRC_SHADOW,2018-12-30T10:05:00-00:00,2018-12-30T10:10:00-00:00,1
RTD,-8.92000007629395,PRC_SHADOW,2018-12-30T10:10:00-00:00,2018-12-30T10:15:00-00:00,1
RTD,-8.92000007629395,PRC_SHADOW,2018-12-30T10:30:00-00:00,2018-12-30T10:35:00-00:00,1
RTD,-8.92000007629395,PRC_SHADOW,2018-12-30T10:45:00-00:00,2018-12-30T10:50:00-00:00,1
RTD,-8.92000007629395,PRC_SHADOW,2018-12-30T10:50:00-00:00,2018-12-30T10:55:00-00:00,1
RTD,-11.2600002288818,PRC_SHADOW,2018-12-30T10:55:00-00:00,2018-12-30T11:00:00-00:00,1
RTD,-11.8400001525879,PRC_SHADOW,2018-12-30T11:10:00-00:00,2018-12-30T11:15:00-00:00,1
RTD,-9.39666981013609,PRC_SHADOW,2018-12-30T11:35:00-00:00,2018-12-30T11:40:00-00:00,1
RTD,-9.39666981013609,PRC_SHADOW,2018-12-30T11:40:00-00:00,2018-12-30T11:45:00-00:00,1
RTD,-8.92000007629395,PRC_SHADOW,2018-12-30T11:45:00-00:00,2018-12-30T11:50:00-00:00,1
RTD,-11.2600002288818,PRC_SHADOW,2018-12-30T11:50:00-00:00,2018-12-30T11:55:00-00:00,1
RTD,-10.1551441081934,PRC_SHADOW,2018-12-30T11:55:00-00:00,2018-12-30T12:00:00-00:00,1
RTD,-14.4499998092651,PRC_SHADOW,2018-12-30T12:05:00-00:00,2018-12-30T12:10:00-00:00,1
RTD,-14.4499998092651,PRC_SHADOW,2018-12-30T12:10:00-00:00,2018-12-30T12:15:00-00:00,1
RTD,-14.4499998092651,PRC_SHADOW,2018-12-30T12:15:00-00:00,2018-12-30T12:20:00-00:00,1
RTD,-14.4499998092651,PRC_SHADOW,2018-12-30T12:25:00-00:00,2018-12-30T12:30:00-00:00,1
RTD,-14.4499998092651,PRC_SHADOW,2018-12-30T12:35:00-00:00,2018-12-30T12:40:00-00:00,1
RTD,-14.4499998092651,PRC_SHADOW,2018-12-30T12:40:00-00:00,2018-12-30T12:45:00-00:00,1
RTD,-14.4499998092651,PRC_SHADOW,2018-12-30T12:45:00-00:00,2018-12-30T12:50:00-00:00,1
RTD,-14.4499998092651,PRC_SHADOW,2018-12-30T12:50:00-00:00,2018-12-30T12:55:00-00:00,1
RTD,-14.4499998092651,PRC_SHADOW,2018-12-30T12:55:00-00:00,2018-12-30T13:00:00-00:00,1
RTD,-14.4499998092651,PRC_SHADOW,2018-12-30T13:00:00-00:00,2018-12-30T13:05:00-00:00,1
RTD,-14.4499998092651,PRC_SHADOW,2018-12-30T13:05:00-00:00,2018-12-30T13:10:00-00:00,1
RTD,-11.8400001525879,PRC_SHADOW,2018-12-30T13:20:00-00:00,2018-12-30T13:25:00-00:00,1
RTD,-12.289999961853,PRC_SHADOW,2018-12-30T13:40:00-00:00,2018-12-30T13:45:00-00:00,1
RTD,-11.8400001525879,PRC_SHADOW,2018-12-30T13:45:00-00:00,2018-12-30T13:50:00-00:00,1
RTD,-7.13000011444092,PRC_SHADOW,2018-12-30T14:00:00-00:00,2018-12-30T14:05:00-00:00,1
RTD,-6.96999979019165,PRC_SHADOW,2018-12-30T14:10:00-00:00,2018-12-30T14:15:00-00:00,1
RTD,-6.94999980926514,PRC_SHADOW,2018-12-30T14:20:00-00:00,2018-12-30T14:25:00-00:00,1
RTD,-6.94999980926514,PRC_SHADOW,2018-12-30T14:25:00-00:00,2018-12-30T14:30:00-00:00,1
RTD,-6.94999980926514,PRC_SHADOW,2018-12-30T14:30:00-00:00,2018-12-30T14:35:00-00:00,1
RTD,-6.96999979019165,PRC_SHADOW,2018-12-30T14:40:00-00:00,2018-12-30T14:45:00-00:00,1
RTD,-12.289999961853,PRC_SHADOW,2018-12-30T15:00:00-00:00,2018-12-30T15:05:00-00:00,1
